i,j,x,process
996116,651004,0.720742429,bi
996116,860553,0.637834659,bi
996116,541108,0.654261691,bi
1012112,1022861,0.602559236,bi
1012112,531515,0.600904395,bi
1022861,1044436,0.672008872,bi
1022861,698517,-0.639028393,bi
1022861,561452,0.731635874,bi
1022861,New.ReferenceOTU32573,0.783160121,bi
1022861,823439,0.650960136,bi
1022861,637184,0.704683636,bi
1022861,707290,-0.736160231,bi
1022861,2161699,0.77729432,bi
1022861,360823,0.600925859,bi
1022861,512811,-0.671398703,bi
1022861,1639777,0.657696422,bi
1022861,860553,0.6040201,bi
1022861,654742,-0.62038488,bi
1022861,245821,0.74138035,bi
1022861,541108,0.617933144,bi
1022861,4337868,0.685041789,bi
1022861,256272,0.675401714,bi
1033426,225930,-0.619539062,bi
1033426,562177,-0.616928427,bi
1033426,548878,-0.663117531,bi
1033426,141167,0.685474194,bi
1033426,778795,-0.720142573,bi
1044436,561452,0.617337202,bi
1044436,New.ReferenceOTU32573,0.651248717,bi
1044436,823439,0.610760018,bi
1044436,637184,0.646804137,bi
1044436,707290,-0.613008233,bi
1044436,2161699,0.643216132,bi
1044436,255750,0.60144278,bi
1044436,245821,0.662111646,bi
1044436,4337868,0.636950905,bi
1051517,1084045,0.699406556,bi
1072787,245194,0.619496652,bi
2161699,860553,0.73340004,bi
2161699,654742,-0.609859022,bi
2161699,245821,0.72302576,bi
2161699,541108,0.623917888,bi
2161699,4337868,0.627697507,bi
2161699,256272,0.730093121,bi
New.ReferenceOTU32573,823439,0.629866297,bi
New.ReferenceOTU32573,637184,0.683666664,bi
New.ReferenceOTU32573,707290,-0.710344737,bi
New.ReferenceOTU32573,2161699,0.86324344,bi
New.ReferenceOTU32573,512811,-0.603025354,bi
New.ReferenceOTU32573,860553,0.702604727,bi
New.ReferenceOTU32573,245821,0.759368159,ef
New.ReferenceOTU32573,4337868,0.727604698,bi
New.ReferenceOTU32573,256272,0.713726766,bi
