id	Phylum	Class
226780	Chloroflexi	Anaerolineae
575450	Proteobacteria	Gammaproteobacteria
530626	Proteobacteria	Alphaproteobacteria
4313922	Chloroflexi	Anaerolineae
207283	Actinobacteria	Thermoleophilia
1072934	Proteobacteria	Alphaproteobacteria
143178	Firmicutes	Bacilli
585869	Firmicutes	Clostridia
691592	Proteobacteria	Betaproteobacteria
1105085	Proteobacteria	Alphaproteobacteria
143175	Bacteroidetes	Cytophagia
27571	Actinobacteria	Thermoleophilia
771082	Bacteroidetes	Bacteroidia
137866	Chloroflexi	Thermomicrobia
1862340	Proteobacteria	Betaproteobacteria
548683	Proteobacteria	Alphaproteobacteria
243760	Chloroflexi	Anaerolineae
1063088	Proteobacteria	Deltaproteobacteria
511572	Actinobacteria	Rubrobacteria
511571	TM7	MJK10
188500	Actinobacteria	Actinobacteria
136114	Proteobacteria	Alphaproteobacteria
4017244	Spirochaetes	[Leptospirae]
242141	Bacteroidetes	Bacteroidia
1090059	Firmicutes	Bacilli
103390	Actinobacteria	Actinobacteria
3850831	Planctomycetes	Planctomycetia
4416537	Acidobacteria	Sva0725
789373	Actinobacteria	Acidimicrobiia
352105	Proteobacteria	Betaproteobacteria
519510	Proteobacteria	Alphaproteobacteria
221826	Acidobacteria	Acidobacteriia
196412	Crenarchaeota	Thaumarchaeota
4461639	Chloroflexi	Anaerolineae
178451	Proteobacteria	Deltaproteobacteria
837704	Bacteroidetes	Cytophagia
207320	Proteobacteria	Betaproteobacteria
4397257	WWE1	[Cloacamonae]
811387	Bacteroidetes	Bacteroidia
141304	Bacteroidetes	Sphingobacteriia
296086	Actinobacteria	Thermoleophilia
737110	Proteobacteria	Gammaproteobacteria
3809681	Proteobacteria	Deltaproteobacteria
207866	Proteobacteria	Alphaproteobacteria
241991	Proteobacteria	Betaproteobacteria
360124	Bacteroidetes	[Saprospirae]
745960	Firmicutes	Clostridia
532912	Proteobacteria	Alphaproteobacteria
241999	Verrucomicrobia	[Pedosphaerae]
1093620	Bacteroidetes	[Saprospirae]
250371	Gemmatimonadetes	Gemmatimonadetes
984895	Gemmatimonadetes	Gemmatimonadetes
200046	Actinobacteria	Thermoleophilia
689602	Firmicutes	Bacilli
796713	Proteobacteria	Deltaproteobacteria
746436	Proteobacteria	Alphaproteobacteria
4330963	Proteobacteria	Deltaproteobacteria
975124	Armatimonadetes	[Fimbriimonadia]
180752	Actinobacteria	Actinobacteria
223202	Chloroflexi	C0119
543813	Bacteroidetes	Sphingobacteriia
223206	Proteobacteria	Gammaproteobacteria
250626	Proteobacteria	Gammaproteobacteria
2801319	Proteobacteria	Betaproteobacteria
4345237	Proteobacteria	Betaproteobacteria
214791	Proteobacteria	Alphaproteobacteria
241193	Proteobacteria	Alphaproteobacteria
210722	Proteobacteria	Alphaproteobacteria
1068936	Actinobacteria	Acidimicrobiia
558915	Proteobacteria	Betaproteobacteria
558911	Actinobacteria	Actinobacteria
310532	Proteobacteria	Alphaproteobacteria
1108912	Gemmatimonadetes	Gemmatimonadetes
159543	Planctomycetes	Phycisphaerae
304223	Elusimicrobia	Elusimicrobia
4378791	Bacteroidetes	[Saprospirae]
978498	Proteobacteria	Deltaproteobacteria
241449	Proteobacteria	Alphaproteobacteria
593511	Proteobacteria	Betaproteobacteria
150160	Acidobacteria	Solibacteres
267505	Firmicutes	Clostridia
548878	Acidobacteria	Acidobacteria-6
4444622	Chloroflexi	S085
4444621	Bacteroidetes	Sphingobacteriia
210904	Proteobacteria	Deltaproteobacteria
813522	Proteobacteria	Alphaproteobacteria
249693	Bacteroidetes	Cytophagia
586743	Bacteroidetes	Sphingobacteriia
4327501	Proteobacteria	Gammaproteobacteria
856745	Actinobacteria	Actinobacteria
555553	Firmicutes	Clostridia
271492	Bacteroidetes	[Saprospirae]
266459	Cyanobacteria	Nostocophycideae
807447	Bacteroidetes	Flavobacteriia
3922904	Acidobacteria	Acidobacteria-6
4405643	Planctomycetes	Phycisphaerae
4405640	Verrucomicrobia	[Pedosphaerae]
4375012	Proteobacteria	Deltaproteobacteria
281220	Proteobacteria	Betaproteobacteria
578565	Bacteroidetes	[Saprospirae]
609128	Acidobacteria	Solibacteres
830471	Planctomycetes	Planctomycetia
936967	Firmicutes	Bacilli
670399	Bacteroidetes	[Saprospirae]
222559	Planctomycetes	Phycisphaerae
551640	Acidobacteria	Acidobacteria-6
3182953	Proteobacteria	Alphaproteobacteria
551647	Bacteroidetes	[Saprospirae]
539866	Proteobacteria	Gammaproteobacteria
539862	Proteobacteria	Deltaproteobacteria
825112	Actinobacteria	Acidimicrobiia
589189	Planctomycetes	Planctomycetia
4419158	Acidobacteria	Acidobacteria-6
220201	Acidobacteria	Acidobacteriia
578126	Proteobacteria	Alphaproteobacteria
4437901	Proteobacteria	Alphaproteobacteria
830338	Acidobacteria	[Chloracidobacteria]
533472	Acidobacteria	Solibacteres
499899	Bacteroidetes	Cytophagia
556277	Actinobacteria	Actinobacteria
246412	Proteobacteria	Alphaproteobacteria
570486	Actinobacteria	Actinobacteria
578701	Actinobacteria	Actinobacteria
1137962	Chloroflexi	Anaerolineae
227002	Gemmatimonadetes	Gemm-3
678475	Acidobacteria	Acidobacteria-6
1020633	Planctomycetes	Planctomycetia
817606	Nitrospirae	Nitrospira
215113	Acidobacteria	Acidobacteriia
4327995	Bacteroidetes	[Saprospirae]
592173	Bacteroidetes	[Saprospirae]
810819	Chloroflexi	Anaerolineae
959195	Gemmatimonadetes	Gemmatimonadetes
582668	Cyanobacteria	4C0d-2
828752	Acidobacteria	[Chloracidobacteria]
4343394	Proteobacteria	Alphaproteobacteria
1126613	Bacteroidetes	[Saprospirae]
4403421	Planctomycetes	Planctomycetia
514055	Chloroflexi	Thermomicrobia
873645	Proteobacteria	Gammaproteobacteria
810955	Bacteroidetes	Flavobacteriia
810959	Actinobacteria	Actinobacteria
1109964	Proteobacteria	Alphaproteobacteria
4362696	Bacteroidetes	Bacteroidia
249999	Actinobacteria	Actinobacteria
4409932	Planctomycetes	Planctomycetia
824997	Gemmatimonadetes	Gemm-1
371783	Actinobacteria	Thermoleophilia
805378	Acidobacteria	iii1-8
510937	Proteobacteria	Deltaproteobacteria
1079792	Planctomycetes	Planctomycetia
252845	AD3	JG37-AG-4
1120344	Actinobacteria	MB-A2-108
812809	Acidobacteria	Acidobacteria-5
1013060	Actinobacteria	Acidimicrobiia
539390	Proteobacteria	Alphaproteobacteria
357342	Actinobacteria	Actinobacteria
812801	Acidobacteria	Acidobacteria-6
676495	Chloroflexi	Anaerolineae
523589	Firmicutes	Clostridia
4449050	Bacteroidetes	Sphingobacteriia
790190	Chlorobi	OPB56
1138433	Acidobacteria	Acidobacteriia
1017817	Firmicutes	Bacilli
559891	Proteobacteria	Alphaproteobacteria
29377	Nitrospirae	Nitrospira
3753076	Acidobacteria	Acidobacteria-6
734945	Proteobacteria	Alphaproteobacteria
4335435	Gemmatimonadetes	Gemm-3
560228	Proteobacteria	Alphaproteobacteria
1793227	Chloroflexi	Anaerolineae
223787	Actinobacteria	Actinobacteria
810371	Planctomycetes	Phycisphaerae
249470	Acidobacteria	Acidobacteriia
807035	Actinobacteria	Actinobacteria
4297688	Proteobacteria	Alphaproteobacteria
1117404	Bacteroidetes	[Saprospirae]
219154	Firmicutes	Bacilli
364546	Actinobacteria	Actinobacteria
